commu_area,user_cnt,venue_cnt,check-ins,KIDNAPPING,PUBLIC PEACE VIOLATION,INTERFERENCE WITH PUBLIC OFFICER,PROSTITUTION,LIQUOR LAW VIOLATION,ROBBERY,BURGLARY,MOTOR VEHICLE THEFT,OTHER NARCOTIC VIOLATION,HOMICIDE,OBSCENITY,WEAPONS VIOLATION,OTHER OFFENSE,CRIMINAL DAMAGE,THEFT,OFFENSE INVOLVING CHILDREN,GAMBLING,PUBLIC INDECENCY,NON-CRIMINAL (SUBJECT SPECIFIED),ARSON,NARCOTICS,SEX OFFENSE,INTIMIDATION,DECEPTIVE PRACTICE,BATTERY,NON - CRIMINAL,CRIMINAL TRESPASS,STALKING,ASSAULT,CRIM SEXUAL ASSAULT,NON-CRIMINAL
1,209,58,367,9,142,81,47,46,589,657,408,0,14,3,172,1063,1602,3187,76,15,0,0,17,1322,77,9,501,2850,0,535,9,926,58,0
10,121,25,157,7,32,7,3,6,40,309,120,0,1,0,11,362,651,1151,39,0,0,0,6,126,27,3,226,624,0,103,2,238,13,0
11,94,22,142,2,17,8,2,7,71,381,197,0,3,1,15,357,582,988,58,0,0,0,4,203,9,3,203,589,0,128,7,186,7,0
12,39,12,51,3,7,3,0,1,14,281,65,0,0,0,2,122,268,438,8,0,0,0,2,47,4,0,106,166,0,29,2,68,3,0
13,83,20,103,3,15,4,6,10,75,391,170,0,1,2,16,205,420,919,25,3,0,0,1,130,16,2,101,370,0,65,3,137,12,0
14,86,27,110,5,83,21,29,33,365,701,608,0,11,0,69,554,1220,1777,74,3,0,0,21,584,43,8,253,1590,0,159,3,447,32,0
15,125,40,209,12,79,38,4,38,295,1051,877,0,9,0,79,936,1585,3089,93,0,0,0,19,855,47,8,455,1910,0,266,8,676,31,0
16,238,53,333,6,160,23,5,32,375,1157,1147,0,7,0,58,671,1593,2584,65,1,1,0,17,660,50,5,360,1899,0,189,11,551,43,0
17,33,11,38,10,24,17,1,6,97,666,366,0,2,1,17,515,880,1324,40,2,0,0,6,252,25,2,259,874,0,126,2,357,14,0
18,16,3,17,2,14,3,1,3,43,271,216,0,0,0,11,191,334,454,21,1,0,0,3,93,9,1,63,359,0,33,1,121,5,0
19,56,23,99,14,150,109,179,57,656,1644,1468,0,16,2,185,1320,2366,3572,183,1,1,0,53,1462,70,17,583,3233,0,333,9,1091,92,0
2,136,34,177,9,83,43,16,23,433,1041,572,0,7,3,78,829,1664,3013,92,3,0,1,15,724,43,5,506,2013,0,253,8,683,46,0
20,9,3,10,6,77,37,17,8,193,530,485,0,5,1,76,458,701,962,59,1,0,0,22,537,22,1,173,1169,0,77,4,386,36,0
21,351,55,517,6,68,19,7,33,328,894,959,0,9,1,48,605,1091,2073,81,2,0,0,23,490,31,5,359,1430,0,154,7,506,42,0
22,1061,207,2408,12,128,48,14,52,701,1975,1662,1,8,0,95,981,2319,5863,151,1,1,0,37,869,56,9,604,2961,0,346,18,907,76,0
23,66,12,69,28,244,207,577,47,1224,1598,1598,0,53,4,402,1559,2803,4521,234,136,0,0,77,7930,73,16,524,6091,0,517,12,1895,118,0
24,1599,389,4332,14,155,51,56,110,1068,2590,1797,0,17,1,135,1080,3439,9297,118,7,0,0,28,1294,93,13,937,3673,1,523,18,1343,80,0
25,66,19,79,51,511,387,859,53,2805,3257,2271,0,97,5,754,3460,5199,9684,409,419,0,0,89,14906,156,17,1339,12260,0,1120,15,3656,253,0
26,11,4,13,9,88,135,559,21,864,652,717,0,41,0,235,803,1345,2322,93,59,1,0,30,5664,33,4,964,3589,0,275,3,1001,63,0
27,28,7,28,18,119,83,237,15,878,718,899,0,29,2,212,918,1508,2599,91,93,0,0,24,4425,36,11,480,3737,0,374,14,1214,59,0
28,2175,418,4849,12,244,56,73,36,1034,1054,1473,2,30,3,127,1346,2398,9878,185,50,1,0,4,1489,99,10,1457,3730,0,1097,19,1454,102,0
29,49,6,52,10,261,89,80,23,1296,1472,1075,0,50,2,427,1485,2665,3999,176,234,0,0,44,7213,67,12,462,6431,0,502,16,1802,134,0
3,712,117,1204,5,117,32,18,14,407,576,661,0,11,3,100,807,1209,3749,75,4,2,0,9,1914,65,7,802,2076,0,423,10,803,75,0
30,63,13,74,18,611,41,127,114,750,883,1215,0,38,1,186,1088,2001,2762,145,7,1,0,39,1567,70,37,327,3337,0,244,10,1117,81,0
31,290,62,493,6,293,22,5,50,222,515,886,0,15,1,116,505,1326,2073,68,1,0,0,20,815,33,7,263,1607,0,235,8,635,34,0
32,3082,659,8020,7,184,26,107,28,636,294,270,4,1,3,30,806,844,12120,35,2,6,0,1,713,79,16,2908,1781,0,1197,29,878,63,1
33,1148,101,1641,6,25,9,4,5,157,215,206,1,2,1,14,322,482,2092,27,0,0,0,6,124,7,1,377,695,0,332,8,267,19,0
34,603,54,817,3,25,7,6,8,217,138,290,0,2,1,27,153,454,1136,14,4,2,0,5,198,11,4,539,637,0,178,2,195,6,0
35,75,20,92,6,59,12,1,3,379,258,382,0,4,1,50,474,687,2093,48,14,0,0,1,651,22,3,310,1694,0,395,7,629,39,0
36,7,2,7,1,21,2,0,1,72,107,84,0,3,0,29,204,270,431,32,8,0,0,0,124,10,1,51,494,0,135,2,170,11,0
37,16,3,16,1,20,16,0,2,248,139,173,0,2,0,68,141,300,707,29,5,1,0,2,425,7,7,266,552,0,128,1,224,6,0
38,62,12,66,8,97,37,116,9,605,624,622,0,23,1,131,782,1340,2210,98,36,1,0,5,1667,27,2,300,2656,0,305,6,1011,52,0
39,65,17,87,3,29,4,3,1,225,334,233,0,7,1,46,396,632,1505,37,8,0,0,4,321,14,2,172,937,0,126,6,364,19,0
4,477,110,898,9,47,14,5,23,142,554,385,0,3,0,27,452,886,2065,32,3,2,0,2,325,39,3,296,1022,0,150,3,335,26,0
40,34,6,36,7,82,34,121,4,540,759,526,0,24,0,184,594,1098,1593,72,55,1,0,13,1361,25,1,154,2429,0,342,0,740,45,0
41,406,99,783,3,19,4,1,5,281,443,302,0,3,1,14,309,589,2027,48,7,1,0,3,190,22,1,310,647,0,137,5,312,32,0
42,60,12,72,16,225,72,98,10,661,1053,495,0,42,3,293,1064,1559,2433,135,62,0,0,17,2198,47,6,318,3221,0,593,8,1095,59,0
43,59,15,76,17,209,89,186,12,1639,3742,1361,0,61,1,414,2206,3723,5633,234,64,0,0,38,3277,75,8,868,7127,0,708,8,2262,144,1
44,83,16,118,13,126,86,78,14,1302,1478,1113,0,45,2,294,1111,1997,4786,141,17,2,0,22,2042,33,10,1054,3877,0,460,15,1364,103,0
45,11,5,13,4,59,5,2,3,332,414,283,0,8,0,75,330,557,1300,34,8,0,0,1,246,10,2,208,979,0,80,3,409,24,0
46,18,7,20,17,220,67,49,22,807,1799,726,0,32,1,350,1109,2231,2854,168,20,0,0,33,1850,61,8,452,4171,0,356,4,1579,72,0
47,0,0,0,2,11,5,1,1,48,196,80,0,3,0,20,85,179,256,14,10,0,0,7,127,3,1,28,255,0,17,0,99,4,0
48,45,8,49,6,29,6,0,3,305,523,363,0,8,1,91,330,717,1498,38,2,0,0,3,240,9,4,241,866,0,105,5,300,22,0
49,51,11,66,20,203,124,318,9,1329,2031,1323,0,46,1,483,1356,2913,4347,175,48,0,0,41,3344,54,6,796,5322,0,684,8,1879,119,0
5,565,109,884,5,31,7,3,15,117,687,337,0,1,0,14,266,679,1989,29,0,0,0,7,170,21,5,278,542,0,138,8,193,21,0
50,24,5,29,3,35,18,1,2,110,212,187,0,7,0,58,245,394,666,39,4,1,0,4,177,13,8,143,751,1,135,5,333,15,0
51,34,8,37,3,57,22,1,15,261,503,285,0,17,0,115,432,930,1352,67,8,0,0,11,467,12,7,207,1349,1,218,4,589,33,0
52,20,3,22,10,91,13,0,12,75,399,245,0,1,0,62,320,942,791,87,0,0,0,10,451,17,5,155,917,0,73,0,396,23,0
53,18,3,19,12,123,77,150,12,627,1410,897,0,42,0,401,1008,2019,2309,128,23,0,0,38,2066,37,5,358,3296,0,344,9,1258,86,0
54,0,0,0,5,37,8,0,3,153,240,136,0,10,1,68,283,596,535,33,7,1,0,7,262,18,0,47,1380,0,204,2,516,35,0
55,8,2,11,0,29,5,0,11,30,159,108,0,3,0,23,160,348,498,22,0,0,0,5,136,5,1,83,394,0,63,3,173,10,0
56,801,36,900,9,61,24,166,19,136,654,282,0,3,0,30,427,1046,1554,48,5,0,0,15,698,31,3,431,926,0,138,4,368,21,1
57,23,4,24,7,34,4,74,10,172,347,303,0,3,0,30,161,620,879,25,3,0,0,10,190,11,1,109,479,0,28,1,151,14,0
58,36,8,48,16,162,26,223,31,337,791,1035,0,20,3,103,613,1345,1518,69,0,0,0,25,622,59,6,226,1775,0,149,10,549,42,0
59,59,12,77,4,37,13,4,6,83,266,309,0,6,2,41,229,600,1052,32,0,0,0,11,285,16,1,139,615,0,51,3,211,15,0
6,2221,564,6798,5,193,32,46,51,1017,1628,995,4,5,2,52,743,2073,8493,32,3,3,0,9,802,75,10,1484,2829,0,616,12,679,71,2
60,122,35,179,5,60,15,7,19,141,553,374,0,10,3,34,463,1135,1351,46,0,0,0,10,302,30,7,180,1027,0,161,8,410,15,0
61,21,6,24,15,289,135,182,51,622,1302,947,0,50,1,409,1004,2095,3454,151,58,1,1,49,3095,65,10,427,4157,0,419,1,1396,70,0
62,30,8,33,1,44,7,0,11,172,433,271,0,1,1,25,249,700,974,33,1,0,0,6,241,21,1,144,523,0,68,7,194,9,0
63,5,3,5,7,213,35,31,30,370,666,890,0,22,2,134,533,1351,1733,101,6,0,0,27,968,72,7,220,1633,0,169,3,495,42,0
64,16,6,19,3,32,7,0,11,57,370,113,0,1,2,18,317,673,721,50,0,1,0,7,160,19,6,188,651,0,60,2,230,11,0
65,52,12,62,10,41,9,0,16,304,701,402,0,3,2,36,399,1032,2348,78,0,0,0,13,303,33,3,282,897,0,70,6,323,29,0
66,8,2,8,31,436,123,157,21,1212,2213,1258,0,50,1,424,1397,2694,4019,220,71,0,0,47,3449,80,6,591,4862,0,649,10,1615,117,0
67,9,3,10,30,335,178,268,16,1337,2265,1020,0,70,2,662,1465,3058,4702,163,168,0,0,43,3859,65,14,551,6474,0,840,11,1993,135,0
68,18,6,19,16,318,128,404,17,1323,1769,965,0,68,2,506,1202,2670,4170,190,128,1,0,50,2900,65,11,491,6198,0,851,8,1905,156,0
69,45,15,51,18,211,103,36,27,1420,1610,1250,0,53,3,451,1416,2421,3871,156,50,0,0,25,2942,58,5,864,5457,0,934,8,1752,124,0
7,1777,378,3911,8,64,12,6,53,416,1289,744,2,2,1,13,415,1591,6847,22,2,3,0,5,271,44,2,921,1200,0,368,12,372,46,0
70,30,9,33,11,114,13,8,9,386,925,473,0,14,2,86,608,1231,1866,67,6,0,0,7,515,33,1,353,1234,0,184,3,540,32,0
71,12,5,15,24,231,163,196,19,1378,2057,1219,1,45,0,493,1594,2766,4521,217,36,1,0,39,3772,71,13,749,5711,0,774,12,1879,139,0
72,63,18,88,4,24,6,1,9,141,321,135,0,4,0,12,279,438,1011,33,0,0,0,3,93,8,4,218,395,0,86,2,196,5,0
73,22,6,25,11,104,54,2,5,621,907,574,0,18,0,199,770,1380,2342,84,35,0,0,12,1193,28,2,416,2111,0,239,4,778,59,0
74,6,3,7,21,15,4,0,9,28,87,35,0,0,1,3,184,339,553,45,0,0,0,2,70,5,1,113,328,0,53,4,144,10,0
75,55,15,77,10,59,31,0,4,275,599,363,0,13,1,95,504,901,1918,72,6,0,0,11,660,26,5,365,1396,0,173,1,545,28,0
76,38,11,44,0,40,9,6,4,28,70,166,0,1,1,12,1503,361,1702,20,0,0,0,1,574,20,0,365,463,0,348,1,181,5,1
77,539,158,1257,1,67,21,0,28,326,678,378,0,10,0,54,654,894,2860,38,5,0,0,6,445,48,2,471,1513,0,265,5,485,38,0
8,3953,950,14130,9,232,72,288,106,812,710,546,1,13,0,86,1073,1805,15411,82,15,4,0,6,973,78,9,3670,3794,0,1554,25,1002,110,4
9,25,8,30,2,3,0,0,3,5,66,21,0,0,0,0,87,181,225,6,0,0,0,2,17,6,0,75,195,0,39,1,42,2,0
